,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
0,ChIJr_TBUwvwaS4R5e6jeLxCWnU,Talaga Sampireun - Bintaro,"Kawasan Niaga Bintaro Jalan Boulevard Bintaro Jaya Blok B7/N1, Pondok Jaya, Pondok Aren, South Tangerang City, Banten 14220",https://lh5.googleusercontent.com/p/AF1QipOrIirN9ZgTp3A1Xla9f8dkSL_Gd5ZIEWZLTieE=w408-h272-k-no,10914,Restoran Indonesia,"[""Restoran Indonesia""]",4.5,"{""1"": 235, ""2"": 172, ""3"": 812, ""4"": 2672, ""5"": 7023}","{""latitude"": -6.2818504, ""longitude"": 106.72935509999999}","[{""hour_of_day"": 18, ""average_popularity"": 83.85714285714286, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 80.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 79.85714285714286, ""time_label"": ""17.00""}]"
1,ChIJfexkb6wAQi4Rmct6okTcIdc,McDonald's Citra Raya,"Citra Food Festival, Jl. Raya Serang No.Km.14 No.7, Cikupa, Kec. Cikupa, Kabupaten Tangerang, Banten 15710",https://lh5.googleusercontent.com/p/AF1QipOZJPrYeVnPD6fn1R1i9NzUDaGX9KkGRcPa4R3z=w408-h306-k-no,4514,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Kedai Sarapan""]",4.5,"{""1"": 159, ""2"": 81, ""3"": 295, ""4"": 926, ""5"": 3053}","{""latitude"": -6.2302586, ""longitude"": 106.5212043}","[{""hour_of_day"": 20, ""average_popularity"": 70.85714285714286, ""time_label"": ""20.00""}, {""hour_of_day"": 19, ""average_popularity"": 70.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 21, ""average_popularity"": 68.42857142857143, ""time_label"": ""21.00""}]"
2,ChIJq6qatk0HQi4RfUd4vHi7GFE,Richeese Factory Cikupa,"Food Festival, Jalan Citra Raya No.7 Blok A, Sukamulya, Kec. Cikupa, Kabupaten Tangerang, Banten 15710",https://lh5.googleusercontent.com/p/AF1QipMg-vXSdW7R_xfhNHs80alrWZPPTi5hhNUYr9FU=w408-h306-k-no,2054,Restoran Masakan Ayam,"[""Restoran Masakan Ayam"", ""Restoran Cepat Saji""]",4.3,"{""1"": 130, ""2"": 59, ""3"": 180, ""4"": 422, ""5"": 1263}","{""latitude"": -6.230692899999999, ""longitude"": 106.521074}","[{""hour_of_day"": 19, ""average_popularity"": 76.0, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 73.85714285714286, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 71.85714285714286, ""time_label"": ""18.00""}]"
3,ChIJ____v536aS4RmFUcSXU6brk,Des & Dan Bakes and Spices,"CBD Bintaro Jaya, Jl. Boulevard Bintaro Jaya Sektor VII No.02, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15220",https://lh5.googleusercontent.com/p/AF1QipOiSalgzChsul-yBj8t4fQPn03kwRN5k6aEgSsH=w408-h544-k-no,1859,Restoran Mediterania,"[""Restoran Mediterania"", ""Toko Roti"", ""Kedai Sarapan"", ""Restoran Makanan Sehat"", ""Restoran""]",4.7,"{""1"": 20, ""2"": 15, ""3"": 65, ""4"": 342, ""5"": 1417}","{""latitude"": -6.2763168, ""longitude"": 106.72162259999999}","[{""hour_of_day"": 18, ""average_popularity"": 73.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 73.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 68.28571428571429, ""time_label"": ""17.00""}]"
4,ChIJwReT4JaNQS4R19H7ixHJx3A,Starbucks Cilegon Center Mall (CCM),"X3G9+3W4, Sukmajaya, Kec. Jombang, Kota Cilegon, Banten 42416",https://lh5.googleusercontent.com/p/AF1QipOdHKZixWZ1XUPX6ILkx9qcB-wxhnA4A3RCgz6v=w408-h544-k-no,1741,Kedai Kopi,"[""Kedai Kopi""]",4.6,"{""1"": 53, ""2"": 14, ""3"": 86, ""4"": 352, ""5"": 1236}","{""latitude"": -6.0248643, ""longitude"": 106.0698206}","[{""hour_of_day"": 19, ""average_popularity"": 67.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 65.71428571428571, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 64.14285714285714, ""time_label"": ""17.00""}]"
5,ChIJqxAH6hP7aS4RdzC50z05H8U,Twin House Bintaro,"CBD Emerald, Jl. Boulevard Bintaro Jaya, Parigi, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15227",https://lh5.googleusercontent.com/p/AF1QipNWDIjI-Dqhe8Lq_E80xzuQDbF-xfpgKib5CkU=w408-h271-k-no,1441,Kafe,"[""Kafe"", ""Kedai Kopi"", ""Restoran""]",4.5,"{""1"": 19, ""2"": 23, ""3"": 107, ""4"": 419, ""5"": 873}","{""latitude"": -6.272118, ""longitude"": 106.6986991}","[{""hour_of_day"": 18, ""average_popularity"": 85.57142857142857, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 84.0, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 82.42857142857143, ""time_label"": ""17.00""}]"
6,ChIJfZJiXhb6aS4RXn9TnzJrFyE,Box Koffies,"Jl. Raden Fatah No.26, RT.002/RW.010, Sudimara Bar., Kec. Ciledug, Kota Tangerang, Banten 15151",https://lh5.googleusercontent.com/p/AF1QipOzBmnnXS6jPYW7EN5RF96pPdDS5KAt499T6lwt=w426-h240-k-no,1362,Kedai Kopi,"[""Kedai Kopi"", ""Toko kopi""]",4.6,"{""1"": 21, ""2"": 16, ""3"": 71, ""4"": 279, ""5"": 975}","{""latitude"": -6.2351423, ""longitude"": 106.70258659999999}","[{""hour_of_day"": 21, ""average_popularity"": 70.71428571428571, ""time_label"": ""21.00""}, {""hour_of_day"": 20, ""average_popularity"": 70.0, ""time_label"": ""20.00""}, {""hour_of_day"": 19, ""average_popularity"": 60.714285714285715, ""time_label"": ""19.00""}]"
7,ChIJO4c35nfwaS4R1sgMcIlJdoY,Bakoel Koffie Bintaro,"Blk. F-G Jl. Wahid Hasyim No.12/37, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224",https://lh5.googleusercontent.com/p/AF1QipOA2Kl09ghT5MgYcZcfhCVOOnpHe315Ynfteob-=w408-h510-k-no,1236,Kedai Kopi,"[""Kedai Kopi"", ""Kedai Sarapan""]",4.4,"{""1"": 35, ""2"": 25, ""3"": 89, ""4"": 324, ""5"": 763}","{""latitude"": -6.272746499999999, ""longitude"": 106.7241162}","[{""hour_of_day"": 19, ""average_popularity"": 75.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 72.57142857142857, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 69.71428571428571, ""time_label"": ""18.00""}]"
8,ChIJf4JnsU0HQi4RE_PPF2txXyk,Starbucks Citra Raya,"Blok A7 Nomor 3CDE Ciffest, Jl. Citra Raya Boulevard, Cikupa, Kec. Cikupa, Kabupaten Tangerang, Banten 15710",https://lh5.googleusercontent.com/p/AF1QipM6TpBNLX3uRAr0XI9lcvmecqJx5SW4BN9lmFDh=w426-h240-k-no,949,Kedai Kopi,"[""Kedai Kopi""]",4.6,"{""1"": 21, ""2"": 12, ""3"": 36, ""4"": 161, ""5"": 719}","{""latitude"": -6.2305592999999995, ""longitude"": 106.52062219999999}","[{""hour_of_day"": 19, ""average_popularity"": 68.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 64.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 20, ""average_popularity"": 62.57142857142857, ""time_label"": ""20.00""}]"
9,ChIJwyJuqp_7aS4R01uG-Sihd_g,ORBIT BRASSERIE,"Jl. Jombang Raya No.12 A, RT.06/RW.02, Pd. Pucung, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15229",https://lh5.googleusercontent.com/p/AF1QipNnsipYrn1IQEr2jZS7gJZ3rXpgy_x8QyB6jTfE=w408-h544-k-no,922,Kedai Kopi,"[""Kedai Kopi""]",4.7,"{""1"": 13, ""2"": 6, ""3"": 22, ""4"": 133, ""5"": 748}","{""latitude"": -6.282606299999999, ""longitude"": 106.7024256}","[{""hour_of_day"": 19, ""average_popularity"": 74.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 71.85714285714286, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 69.71428571428571, ""time_label"": ""18.00""}]"
