,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
0,ChIJ0_QCexBZei4R-uHA7j_hA5A,Tengkleng Gajah Jogja,"Jl. Kaliurang No.Km.9, RT.04/RW.3, Gantalan, Minomartani, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",https://lh5.googleusercontent.com/p/AF1QipN8EFffKPWCBpn3sQKudEbR4Fo0WRrh4ogxZ7te=w408-h724-k-no,22237,Restoran Sate,"[""Restoran Sate"", ""Rumah Makan"", ""Restoran Indonesia""]",4.4,"{""1"": 548, ""2"": 449, ""3"": 1763, ""4"": 5344, ""5"": 14133}","{""latitude"": -7.7300189999999995, ""longitude"": 110.405267}","[{""hour_of_day"": 13, ""average_popularity"": 72.71428571428571, ""time_label"": ""13.00""}, {""hour_of_day"": 14, ""average_popularity"": 70.28571428571429, ""time_label"": ""14.00""}, {""hour_of_day"": 18, ""average_popularity"": 65.42857142857143, ""time_label"": ""18.00""}]"
1,ChIJRxONwS5Yei4RcwWqzjnGrzQ,Legend Coffee,"Jl. Abu Bakar Ali No.24-26, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",https://lh5.googleusercontent.com/p/AF1QipN5j9jgEBbjZf40o-z5qC_2pgprBwaf-i_ViuPq=w427-h240-k-no,10580,Kafe,"[""Kafe"", ""Restoran""]",4.4,"{""1"": 218, ""2"": 192, ""3"": 984, ""4"": 2831, ""5"": 6355}","{""latitude"": -7.7881602, ""longitude"": 110.372794}","[{""hour_of_day"": 21, ""average_popularity"": 68.0, ""time_label"": ""21.00""}, {""hour_of_day"": 20, ""average_popularity"": 65.57142857142857, ""time_label"": ""20.00""}, {""hour_of_day"": 22, ""average_popularity"": 64.57142857142857, ""time_label"": ""22.00""}]"
2,ChIJUQyDGr1Xei4RO5dXFv3bepE,Mediterranea Restaurant by Kamil,"Jl. Tirtodipuran No.24A, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",https://lh5.googleusercontent.com/p/AF1QipPxHqQPjnFRNnuYWB5aab-bqZHFx0-hkldNLS5E=w426-h240-k-no,8403,Restoran Eropa,"[""Restoran Eropa"", ""Restoran Mediterania"", ""Restoran Masakan Barat""]",4.7,"{""1"": 119, ""2"": 75, ""3"": 259, ""4"": 1387, ""5"": 6563}","{""latitude"": -7.818566, ""longitude"": 110.36452759999999}","[{""hour_of_day"": 19, ""average_popularity"": 83.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 78.42857142857143, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 76.0, ""time_label"": ""18.00""}]"
3,ChIJDc4stSNbei4RV8-M0Ncy51Y,Wedang Kopi Prambanan,"Jl. Raya Manisrenggo - Prambanan No.16, Area Sawah, Bugisan, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",https://lh5.googleusercontent.com/p/AF1QipMBl2F9AWF0NnE0ya-Ok7aPXQJnyh-nsrX3H5oc=w408-h271-k-no,7665,Restoran,"[""Restoran"", ""Toko kopi""]",4.5,"{""1"": 113, ""2"": 81, ""3"": 472, ""4"": 2013, ""5"": 4986}","{""latitude"": -7.741586, ""longitude"": 110.500999}","[{""hour_of_day"": 13, ""average_popularity"": 69.85714285714286, ""time_label"": ""13.00""}, {""hour_of_day"": 14, ""average_popularity"": 65.14285714285714, ""time_label"": ""14.00""}, {""hour_of_day"": 12, ""average_popularity"": 64.14285714285714, ""time_label"": ""12.00""}]"
4,ChIJccZmahZYei4RnjIKGzR9ly0,Waroeng Steak & Shake Cokroaminoto,"Jl. HOS Cokroaminoto No.49, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",https://lh5.googleusercontent.com/p/AF1QipORtzuzGJroWS1hAEAtEy7isj4Sd5tUq_rZfH3h=w408-h306-k-no,6140,Restoran Steak,"[""Restoran Steak""]",4.5,"{""1"": 149, ""2"": 114, ""3"": 447, ""4"": 1508, ""5"": 3922}","{""latitude"": -7.7978613999999995, ""longitude"": 110.3523354}","[{""hour_of_day"": 19, ""average_popularity"": 76.57142857142857, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 75.71428571428571, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 64.14285714285714, ""time_label"": ""17.00""}]"
5,ChIJH03CYY1Xei4RTDTe65njvUk,Bale Raos - The Sultan's Dishes,"Jl. Magangan Kulon No.1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",https://lh5.googleusercontent.com/p/AF1QipPknH_Mc3Nw7QkW8YmmzGZqfM-y8dVGDXWtwBaY=w408-h306-k-no,5500,Restoran Indonesia,"[""Restoran Indonesia""]",4.5,"{""1"": 71, ""2"": 86, ""3"": 388, ""4"": 1333, ""5"": 3622}","{""latitude"": -7.808489499999999, ""longitude"": 110.3630646}","[{""hour_of_day"": 19, ""average_popularity"": 66.85714285714286, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 61.857142857142854, ""time_label"": ""18.00""}, {""hour_of_day"": 13, ""average_popularity"": 57.714285714285715, ""time_label"": ""13.00""}]"
6,ChIJv5YUr-paei4RagQ99PgviB0,ABHAYAGIRI - Venue and Dining,"Heritage Resort, Sumberwatu, RT.02/RW.01, Sumberwatu, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",https://lh5.googleusercontent.com/p/AF1QipOjFNbfy1sJ65V5ucUeVRWswKwJrJTdy6ol4OPq=w408-h272-k-no,5429,Restoran,"[""Restoran"", ""Amfiteater"", ""Vihara"", ""Lapangan Berkuda"", ""Hotel"", ""Restoran makan siang"", ""Jasa Penyelenggaraan Rapat"", ""Kolam Renang"", ""Vila"", ""Gedung Pernikahan""]",4.5,"{""1"": 147, ""2"": 111, ""3"": 363, ""4"": 1247, ""5"": 3561}","{""latitude"": -7.7686119, ""longitude"": 110.4966654}","[{""hour_of_day"": 18, ""average_popularity"": 67.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 63.57142857142857, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 62.0, ""time_label"": ""17.00""}]"
7,ChIJI8g5ZgtXei4RvTKN1v00ruw,Bale Bebakaran Umbulharjo,"Jl. Menteri Supeno No.100, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",https://lh5.googleusercontent.com/p/AF1QipMt2-jCxx1qqRwcP28hB10yjyKXucwDm7w8-X-8=w408-h306-k-no,5299,Rumah Makan,"[""Rumah Makan""]",4.4,"{""1"": 171, ""2"": 112, ""3"": 454, ""4"": 1425, ""5"": 3137}","{""latitude"": -7.8170002, ""longitude"": 110.3840718}","[{""hour_of_day"": 18, ""average_popularity"": 80.0, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 73.0, ""time_label"": ""17.00""}, {""hour_of_day"": 19, ""average_popularity"": 72.71428571428571, ""time_label"": ""19.00""}]"
8,ChIJyR5alytZei4Rx1H8P1VK30M,Taru Martani Coffee & Resto 1918,"Jl. Kompol Bambang Suprapto No.2A, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55225",https://lh5.googleusercontent.com/p/AF1QipOo7K6vBpYM4vGanOZ78oZxX2Qgn8q7wyoPGKiQ=w408-h725-k-no,5243,Kedai Kopi,"[""Kedai Kopi"", ""Toko Cerutu""]",4.6,"{""1"": 89, ""2"": 56, ""3"": 194, ""4"": 930, ""5"": 3974}","{""latitude"": -7.7910783, ""longitude"": 110.381436}","[{""hour_of_day"": 21, ""average_popularity"": 68.0, ""time_label"": ""21.00""}, {""hour_of_day"": 20, ""average_popularity"": 66.0, ""time_label"": ""20.00""}, {""hour_of_day"": 22, ""average_popularity"": 59.142857142857146, ""time_label"": ""22.00""}]"
9,ChIJbc2bgURYei4RAw8upAxTexE,Liquid Bar And Kitchen,"Jl. Magelang - Yogyakarta KM.4,5 No.158, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",https://lh5.googleusercontent.com/p/AF1QipMPPt84ARw-wyP90F2ukjPqDDi0YH7LfLGGW3bg=w480-h240-k-no,5160,Bar & Grill,"[""Bar & Grill"", ""Klub Malam"", ""Toko Minuman Anggur""]",4.5,"{""1"": 141, ""2"": 90, ""3"": 416, ""4"": 1042, ""5"": 3471}","{""latitude"": -7.767431599999999, ""longitude"": 110.3613195}","[{""hour_of_day"": 23, ""average_popularity"": 64.0, ""time_label"": ""23.00""}, {""hour_of_day"": 22, ""average_popularity"": 56.57142857142857, ""time_label"": ""22.00""}, {""hour_of_day"": 0, ""average_popularity"": 53.285714285714285, ""time_label"": ""00.00""}]"
