,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
0,ChIJd0EvQ4_zaS4ROHLtujX-hmE,Bebek Kaleyo Tebet,"Lapangan Ros Selatan No.49, RT.4/RW.1, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",https://lh5.googleusercontent.com/p/AF1QipO_gOWR3jzZR6XfGWy0jnAze2N_WQ2oVOl_eQb5=w497-h240-k-no,11016,Restoran Indonesia,"[""Restoran Indonesia"", ""Restoran Asia""]",4.5,"{""1"": 184, ""2"": 152, ""3"": 791, ""4"": 2528, ""5"": 7361}","{""latitude"": -6.2258, ""longitude"": 106.8568683}","[{""hour_of_day"": 19, ""average_popularity"": 80.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 78.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 20, ""average_popularity"": 71.0, ""time_label"": ""20.00""}]"
1,ChIJEwwrrXH3aS4RcBo0XDRfOnc,McDonald's Puri Kembangan,"Jl. Puri Indah Raya Blok U1 No.1, RT.3/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",https://lh5.googleusercontent.com/p/AF1QipNF6AYONEzSbuDX0JJyD0DWag0769_W1CDBapKw=w408-h272-k-no,9072,Restoran Cepat Saji,"[""Restoran Cepat Saji""]",4.6,"{""1"": 204, ""2"": 117, ""3"": 490, ""4"": 1760, ""5"": 6501}","{""latitude"": -6.187604599999999, ""longitude"": 106.7379474}","[{""hour_of_day"": 23, ""average_popularity"": 88.28571428571429, ""time_label"": ""23.00""}, {""hour_of_day"": 22, ""average_popularity"": 80.71428571428571, ""time_label"": ""22.00""}, {""hour_of_day"": 0, ""average_popularity"": 67.28571428571429, ""time_label"": ""00.00""}]"
2,ChIJC_lABffzaS4RZGzb2lD-iAw,Setiabudi One,"Jl. H. R. Rasuna Said No.Kav.62, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",https://lh5.googleusercontent.com/p/AF1QipMPXlorW_MYjmfFJdUUJ2XDzU5mbdIjzS7LQwG0=w408-h272-k-no,8456,Pujasera,"[""Pujasera""]",4.6,"{""1"": 61, ""2"": 48, ""3"": 529, ""4"": 1996, ""5"": 5822}","{""latitude"": -6.2152515, ""longitude"": 106.82993549999999}","[{""hour_of_day"": 18, ""average_popularity"": 84.14285714285714, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 84.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 13, ""average_popularity"": 75.71428571428571, ""time_label"": ""13.00""}]"
3,ChIJwZMcGHXxaS4RKdlMwHZXitw,KFC Gunawarman,"No.80 Blok Q1, Jl. Gunawarman, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",https://lh5.googleusercontent.com/p/AF1QipNYUwSCkwvgbiYlLIaLA2aZWJ1XVtzXWhJGe2f6=w408-h240-k-no-pi-0-ya242.6745-ro0-fo100,5918,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Kafe"", ""Restoran Masakan Ayam""]",4.5,"{""1"": 165, ""2"": 76, ""3"": 465, ""4"": 1300, ""5"": 3912}","{""latitude"": -6.238975, ""longitude"": 106.8074383}","[{""hour_of_day"": 8, ""average_popularity"": 74.85714285714286, ""time_label"": ""08.00""}, {""hour_of_day"": 9, ""average_popularity"": 71.14285714285714, ""time_label"": ""09.00""}, {""hour_of_day"": 19, ""average_popularity"": 69.57142857142857, ""time_label"": ""19.00""}]"
4,ChIJp5VZTgT0aS4R26oBEPT4nUw,Warung MJS,"Jl. Setia Budi Tengah No.11, RT.1/RW.1, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",https://lh5.googleusercontent.com/p/AF1QipO6TDDJ-oLMavfJCbDJI2TTHKU0dtkhbKG2cmqH=w408-h272-k-no,5896,Restoran Jawa,"[""Restoran Jawa""]",4.5,"{""1"": 76, ""2"": 63, ""3"": 385, ""4"": 1478, ""5"": 3894}","{""latitude"": -6.2087667, ""longitude"": 106.8267063}","[{""hour_of_day"": 13, ""average_popularity"": 91.57142857142857, ""time_label"": ""13.00""}, {""hour_of_day"": 19, ""average_popularity"": 89.42857142857143, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 87.71428571428571, ""time_label"": ""18.00""}]"
5,ChIJq6qqasH2aS4R9ezjRhnxB3s,KFC Kemanggisan,"Jl. Rw. Belong No.8 6, RT.6/RW.12, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",https://lh5.googleusercontent.com/p/AF1QipMr6iHHC55aXHKvWiTG2INhYPtlcFNZOnJkA8tk=w408-h278-k-no,5821,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Kafe"", ""Restoran Masakan Ayam""]",4.3,"{""1"": 345, ""2"": 143, ""3"": 527, ""4"": 1256, ""5"": 3550}","{""latitude"": -6.2003198, ""longitude"": 106.7829197}","[{""hour_of_day"": 19, ""average_popularity"": 87.42857142857143, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 83.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 20, ""average_popularity"": 82.42857142857143, ""time_label"": ""20.00""}]"
6,ChIJ4xqe_vfzaS4R2nzD8AUEB2Q,PokenBir,"Lippo Kuningan, Jl. H. R. Rasuna Said No.Kav. B 12, RT.6/RW.7, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",https://lh5.googleusercontent.com/p/AF1QipO8o6l1PUk8K4ie4HE5pxTfZJXHK619xb9LsIwZ=w408-h544-k-no,5357,Restoran Masakan Barat,"[""Restoran Masakan Barat"", ""Restoran Indonesia"", ""Restoran""]",4.7,"{""1"": 58, ""2"": 35, ""3"": 185, ""4"": 942, ""5"": 4137}","{""latitude"": -6.217305199999999, ""longitude"": 106.8301546}","[{""hour_of_day"": 13, ""average_popularity"": 74.0, ""time_label"": ""13.00""}, {""hour_of_day"": 19, ""average_popularity"": 73.85714285714286, ""time_label"": ""19.00""}, {""hour_of_day"": 12, ""average_popularity"": 71.85714285714286, ""time_label"": ""12.00""}]"
7,ChIJW_P9dJHzaS4RIIcabtsm8QM,KFC Tebet,"Jl. Tebet Raya No.10, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",https://lh5.googleusercontent.com/p/AF1QipPuge9uYIj8PMgbqKoClgiIomeRdQL0kwJAmAqy=w408-h307-k-no,5289,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Restoran Masakan Ayam""]",4.4,"{""1"": 266, ""2"": 102, ""3"": 438, ""4"": 1092, ""5"": 3391}","{""latitude"": -6.2295615, ""longitude"": 106.8486514}","[{""hour_of_day"": 19, ""average_popularity"": 91.85714285714286, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 91.0, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 82.28571428571429, ""time_label"": ""17.00""}]"
8,ChIJnVJ1aFrxaS4R5RMR4yg-ZfA,Beer Garden SCBD,"SCBD PARK, Jl. Jend. Sudirman kav 52-53 LOT 6B, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",https://lh5.googleusercontent.com/p/AF1QipM_8g3t1ybpMdpRbrPzJW6OfySyKRyoZCn_eXug=w426-h240-k-no,5254,Tempat Minum Bir Luar Ruangan,"[""Tempat Minum Bir Luar Ruangan"", ""Bar"", ""Bar Minuman Koktail"", ""Bar Dengan Pentas Musik"", ""Restoran""]",4.4,"{""1"": 144, ""2"": 96, ""3"": 518, ""4"": 1344, ""5"": 3152}","{""latitude"": -6.2259383, ""longitude"": 106.8091221}","[{""hour_of_day"": 22, ""average_popularity"": 54.0, ""time_label"": ""22.00""}, {""hour_of_day"": 21, ""average_popularity"": 53.0, ""time_label"": ""21.00""}, {""hour_of_day"": 20, ""average_popularity"": 50.857142857142854, ""time_label"": ""20.00""}]"
9,ChIJhY1IdJTzaS4RCliiU3D4Z9I,McDonald's Tebet,"Jl. Prof. DR. Soepomo No.55B, RT.13/RW.2, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",https://lh5.googleusercontent.com/p/AF1QipO2g3osZ16Gcq7xkdB1LMEpcX5LNW5EzmiORO74=w408-h306-k-no,4648,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Restoran""]",4.5,"{""1"": 141, ""2"": 47, ""3"": 318, ""4"": 960, ""5"": 3182}","{""latitude"": -6.232144, ""longitude"": 106.8456271}","[{""hour_of_day"": 21, ""average_popularity"": 72.85714285714286, ""time_label"": ""21.00""}, {""hour_of_day"": 22, ""average_popularity"": 72.71428571428571, ""time_label"": ""22.00""}, {""hour_of_day"": 20, ""average_popularity"": 68.71428571428571, ""time_label"": ""20.00""}]"
10,ChIJUbFWB1vxaS4Rz4bnXgpxEoc,Anomali Coffee,"Jl. Senopati No.19, RT.6/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",https://lh5.googleusercontent.com/p/AF1QipPVGzoNzcaxne9WvpV-NfBuUn6No7V43SvfAhc4=w408-h544-k-no,4485,Kafe,"[""Kafe"", ""Kedai Kopi""]",4.5,"{""1"": 56, ""2"": 40, ""3"": 318, ""4"": 1117, ""5"": 2954}","{""latitude"": -6.2305437, ""longitude"": 106.80807759999999}","[{""hour_of_day"": 21, ""average_popularity"": 61.285714285714285, ""time_label"": ""21.00""}, {""hour_of_day"": 22, ""average_popularity"": 59.42857142857143, ""time_label"": ""22.00""}, {""hour_of_day"": 13, ""average_popularity"": 58.142857142857146, ""time_label"": ""13.00""}]"
11,ChIJgwj8-An0aS4RY7gzwS8hLM8,Bluegrass Bar & Grill,"Bakrie Tower, Jl. H. R. Rasuna Said Lt. G, Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",https://lh5.googleusercontent.com/p/AF1QipOHuUNg0xPKtPdBItxVbewD10G2LXIzXIjQSvj_=w408-h272-k-no,4341,Restoran Masakan Barat,"[""Restoran Masakan Barat"", ""Bar""]",4.7,"{""1"": 56, ""2"": 37, ""3"": 138, ""4"": 751, ""5"": 3359}","{""latitude"": -6.2193093, ""longitude"": 106.8344011}",Not Present
12,ChIJE8SwsZvzaS4ROIy3R9KuRg8,Fat Bubble,"Jl. Tebet Timur Dalam II No.47C, RT.3/RW.3, Tebet Tim., Kecamatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",https://lh5.googleusercontent.com/p/AF1QipNqf-dLxvBzx9tyYXrmKzT6OTx_tRnpurhvulxD=w408-h302-k-no,4096,Kafe,"[""Kafe"", ""Kedai Hidangan Penutup"", ""Restoran""]",4.5,"{""1"": 77, ""2"": 45, ""3"": 255, ""4"": 1029, ""5"": 2690}","{""latitude"": -6.2284684, ""longitude"": 106.8562774}","[{""hour_of_day"": 19, ""average_popularity"": 77.57142857142857, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 73.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 20, ""average_popularity"": 69.42857142857143, ""time_label"": ""20.00""}]"
13,ChIJrXXKvZLxaS4RiAQB48KKHBQ,Twin House Cipete,"Jl. Cipete Raya No.4B, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",https://lh5.googleusercontent.com/p/AF1QipM3F2-IqhJS72wJGxB9smXgVZdtpOtvfSoWUI52=w425-h240-k-no,3969,Restoran Masakan Barat,"[""Restoran Masakan Barat"", ""Kedai Kopi"", ""Restoran""]",4.5,"{""1"": 53, ""2"": 48, ""3"": 309, ""4"": 1090, ""5"": 2469}","{""latitude"": -6.2786292999999995, ""longitude"": 106.80514009999999}","[{""hour_of_day"": 19, ""average_popularity"": 69.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 67.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 61.42857142857143, ""time_label"": ""17.00""}]"
