,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
0,ChIJP95mBqvJaS4RZ_uHELaXcYQ,Dairyland Riverside Puncak,"Jl. Raya Puncak - Gadog KM.77 No.435, Leuwimalang, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16770",https://lh5.googleusercontent.com/p/AF1QipPuwe03tUzzG4ZvPPhp-c1Orn3enKw1zPYV3Pic=w426-h240-k-no,46435,Restoran Keluarga,"[""Restoran Keluarga"", ""Restoran"", ""Pusat Perbelanjaan"", ""Tujuan Wisata""]",4.6,"{""1"": 676, ""2"": 535, ""3"": 2647, ""4"": 9514, ""5"": 33063}","{""latitude"": -6.652397, ""longitude"": 106.9086908}","[{""hour_of_day"": 14, ""average_popularity"": 52.285714285714285, ""time_label"": ""14.00""}, {""hour_of_day"": 15, ""average_popularity"": 51.857142857142854, ""time_label"": ""15.00""}, {""hour_of_day"": 13, ""average_popularity"": 49.857142857142854, ""time_label"": ""13.00""}]"
1,ChIJI2Dvpmq2aS4RehU_ClI0Zj0,BUMI AKI CISARUA,"Jalan Raya Cisarua No.18 KM 81 Cisarua, Cibulan, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750",https://lh5.googleusercontent.com/p/AF1QipNTTY92FGN5r5LQMjSxXoEXOHC-2c5iFh7mUNXf=w408-h288-k-no,14932,Restoran Sunda,"[""Restoran Sunda"", ""Restoran Keluarga"", ""Restoran""]",4.7,"{""1"": 118, ""2"": 143, ""3"": 606, ""4"": 2164, ""5"": 11901}","{""latitude"": -6.6855541, ""longitude"": 106.93670519999999}","[{""hour_of_day"": 18, ""average_popularity"": 70.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 67.42857142857143, ""time_label"": ""17.00""}, {""hour_of_day"": 19, ""average_popularity"": 67.42857142857143, ""time_label"": ""19.00""}]"
2,ChIJ0516EdS3aS4RowvxTj8eWEs,Dairyland Mountain View,"Jl. Raya Puncak - Gadog No.77, Leuwimalang, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750",https://lh5.googleusercontent.com/p/AF1QipNblCm3PzJ-i2n_qCwVc9__f2O8lEPeauspfKi-=w408-h306-k-no,13395,Toko Olahan Susu,"[""Toko Olahan Susu"", ""Perajin Coklat"", ""Kedai Kopi"", ""Restoran""]",4.5,"{""1"": 219, ""2"": 210, ""3"": 1128, ""4"": 3249, ""5"": 8589}","{""latitude"": -6.660901, ""longitude"": 106.9172538}","[{""hour_of_day"": 14, ""average_popularity"": 55.714285714285715, ""time_label"": ""14.00""}, {""hour_of_day"": 15, ""average_popularity"": 54.857142857142854, ""time_label"": ""15.00""}, {""hour_of_day"": 13, ""average_popularity"": 54.142857142857146, ""time_label"": ""13.00""}]"
3,ChIJvcuYXZTGbi4RnzwxLQBnCKc,Toserba Yogya Jatibarang,"Jl. Siliwangi No.28, Jatibarang Baru, Kec. Jatibarang, Kabupaten Indramayu, Jawa Barat 45273",https://lh5.googleusercontent.com/p/AF1QipNcwG4JUnUhILP46-hEt03qgjWAmJbh9-dGvA3E=w408-h305-k-no,2999,Toko Swalayan,"[""Toko Swalayan"", ""Toserba""]",4.3,"{""1"": 139, ""2"": 71, ""3"": 284, ""4"": 685, ""5"": 1820}","{""latitude"": -6.4748673, ""longitude"": 108.30462539999999}","[{""hour_of_day"": 16, ""average_popularity"": 74.14285714285714, ""time_label"": ""16.00""}, {""hour_of_day"": 15, ""average_popularity"": 73.71428571428571, ""time_label"": ""15.00""}, {""hour_of_day"": 17, ""average_popularity"": 72.28571428571429, ""time_label"": ""17.00""}]"
4,ChIJB50VQK6xaC4RROAqWTLX9oA,KFC Ramayana Garut,"Jl. Guntur, Pakuwon, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44117",https://lh5.googleusercontent.com/p/AF1QipMR2UHoPK97O5FIZv2WMT3TSr1CaD8Fx_KPZ1Gl=w408-h541-k-no,2871,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Kafe"", ""Restoran Masakan Ayam""]",4.4,"{""1"": 93, ""2"": 39, ""3"": 241, ""4"": 627, ""5"": 1871}","{""latitude"": -7.2113361, ""longitude"": 107.9017181}","[{""hour_of_day"": 11, ""average_popularity"": 64.71428571428571, ""time_label"": ""11.00""}, {""hour_of_day"": 10, ""average_popularity"": 58.42857142857143, ""time_label"": ""10.00""}, {""hour_of_day"": 12, ""average_popularity"": 56.285714285714285, ""time_label"": ""12.00""}]"
5,ChIJ22xbt3k7aS4RMpYs2kwEayg,KFC Kota Subang,"Jl. Otto Iskandardinata No.106, Karanganyar, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",https://lh5.googleusercontent.com/p/AF1QipPkBkk3dE6NB9XNZgUkkxhJrVr8J8IEoCQnBYWp=w426-h240-k-no,2850,Restoran,"[""Restoran"", ""Kafe"", ""Restoran Cepat Saji""]",4.4,"{""1"": 94, ""2"": 60, ""3"": 298, ""4"": 698, ""5"": 1700}","{""latitude"": -6.5631454, ""longitude"": 107.7675561}","[{""hour_of_day"": 19, ""average_popularity"": 81.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 80.0, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 79.57142857142857, ""time_label"": ""18.00""}]"
6,ChIJW7MasUywaC4Re26IyRBarPI,New Golden Roses Bakery - Garut (Toko Kue Garut),"Jl. Papandayan No.99, Regol, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44114",https://lh5.googleusercontent.com/p/AF1QipPPRSUU0SdPoSRP_zhsggCxSKi0I9ARsOBgx42b=w426-h240-k-no,2714,Toko Kue,"[""Toko Kue"", ""Toko Roti"", ""Kafe"", ""Toko Kue Kering"", ""Restoran""]",5.0,"{""1"": 7, ""2"": 3, ""3"": 4, ""4"": 20, ""5"": 2680}","{""latitude"": -7.2202778, ""longitude"": 107.90533769999999}","[{""hour_of_day"": 15, ""average_popularity"": 72.0, ""time_label"": ""15.00""}, {""hour_of_day"": 16, ""average_popularity"": 71.42857142857143, ""time_label"": ""16.00""}, {""hour_of_day"": 14, ""average_popularity"": 71.14285714285714, ""time_label"": ""14.00""}]"
7,ChIJk2sVinuMaC4RK0WA4yG7kEM,Warung Kopi Gunung,"Jl. Terusan patengan No.km. 11, Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973",https://lh5.googleusercontent.com/p/AF1QipPOkWrZ4-JBzHH0c8sL4ZXmoHN4WB4AmaalXZiw=w408-h306-k-no,2569,Kedai Kopi,"[""Kedai Kopi"", ""Kafe""]",4.5,"{""1"": 60, ""2"": 47, ""3"": 181, ""4"": 609, ""5"": 1672}","{""latitude"": -7.1443781, ""longitude"": 107.3912703}","[{""hour_of_day"": 12, ""average_popularity"": 49.0, ""time_label"": ""12.00""}, {""hour_of_day"": 13, ""average_popularity"": 48.42857142857143, ""time_label"": ""13.00""}, {""hour_of_day"": 14, ""average_popularity"": 46.857142857142854, ""time_label"": ""14.00""}]"
8,ChIJp38-zXk7aS4RLW5dTTqsXPc,Rumah Makan Saung Sarasa,"Jl. Otto Iskandardinata No.260, Karanganyar, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",https://lh5.googleusercontent.com/p/AF1QipNvKc7W0ZmXDYaA0VzR6DaTSsgkqtpvjd-VvUG8=w408-h544-k-no,2145,Restoran Asia,"[""Restoran Asia"", ""Katering"", ""Gedung Pertemuan"", ""Restoran ikan"", ""Prasmanan Pernikahan""]",4.4,"{""1"": 86, ""2"": 50, ""3"": 180, ""4"": 350, ""5"": 1479}","{""latitude"": -6.5549684, ""longitude"": 107.7743307}","[{""hour_of_day"": 18, ""average_popularity"": 91.0, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 88.14285714285714, ""time_label"": ""17.00""}, {""hour_of_day"": 19, ""average_popularity"": 86.0, ""time_label"": ""19.00""}]"
9,ChIJIXq_a02waC4RKd5lKOE8hY0,Richeese Factory Garut,"Jalan Siliwangi Kelurahan No.20 1, RT.1/RW.06, Regol, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 40375",https://lh5.googleusercontent.com/p/AF1QipPGcptJyrZESuht4pzOZMgg4pqr35Ofw-7Zwg_2=w408-h306-k-no,2143,Restoran Cepat Saji,"[""Restoran Cepat Saji""]",4.5,"{""1"": 53, ""2"": 37, ""3"": 163, ""4"": 459, ""5"": 1431}","{""latitude"": -7.2170587, ""longitude"": 107.90402209999999}","[{""hour_of_day"": 17, ""average_popularity"": 79.71428571428571, ""time_label"": ""17.00""}, {""hour_of_day"": 18, ""average_popularity"": 78.57142857142857, ""time_label"": ""18.00""}, {""hour_of_day"": 16, ""average_popularity"": 71.0, ""time_label"": ""16.00""}]"
10,ChIJfXd07VOwaC4Rh9CyLhQQpDw,J.Co,"Jl. Guntur, Pakuwon, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44118",https://lh5.googleusercontent.com/p/AF1QipOX7u7dWZrGZ3T-zdoi-A0-1tqdwmKfCJRpvWp3=w408-h306-k-no,1708,Kafe,"[""Kafe"", ""Kedai Kopi"", ""Toko Donat""]",4.6,"{""1"": 34, ""2"": 19, ""3"": 91, ""4"": 309, ""5"": 1255}","{""latitude"": -7.2115898, ""longitude"": 107.9013212}","[{""hour_of_day"": 10, ""average_popularity"": 40.857142857142854, ""time_label"": ""10.00""}, {""hour_of_day"": 13, ""average_popularity"": 30.142857142857142, ""time_label"": ""13.00""}, {""hour_of_day"": 15, ""average_popularity"": 30.142857142857142, ""time_label"": ""15.00""}]"
11,ChIJTYvawR87aS4RIXbY_re4bfM,Richeese Factory Kota Subang,"Jl. Otto Iskandardinata No.78, Soklat, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",https://lh5.googleusercontent.com/p/AF1QipNR1R-k-C4LkxRa9r3edyzfmyXApBz0ddLpXtSy=w426-h240-k-no,1616,Restoran Cepat Saji,"[""Restoran Cepat Saji""]",4.3,"{""1"": 84, ""2"": 28, ""3"": 150, ""4"": 382, ""5"": 972}","{""latitude"": -6.5654482, ""longitude"": 107.7654912}","[{""hour_of_day"": 18, ""average_popularity"": 77.71428571428571, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 75.57142857142857, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 73.57142857142857, ""time_label"": ""17.00""}]"
12,ChIJQRLIy6e2aS4RuAeL2L5KolY,Resto & cafe Puncak Asri,"Jl. Raya Puncak Gadog No.Km 88, Tugu Sel., Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750",https://lh5.googleusercontent.com/p/AF1QipP-vpqfR8pdBpIuiIMvC4LtIEykcaBb9J6ts2p8=w426-h240-k-no,1237,Restoran Asia,"[""Restoran Asia""]",4.2,"{""1"": 81, ""2"": 39, ""3"": 149, ""4"": 257, ""5"": 711}","{""latitude"": -6.7022407, ""longitude"": 106.9935441}","[{""hour_of_day"": 1, ""average_popularity"": 67.0, ""time_label"": ""01.00""}, {""hour_of_day"": 0, ""average_popularity"": 63.0, ""time_label"": ""00.00""}, {""hour_of_day"": 16, ""average_popularity"": 56.42857142857143, ""time_label"": ""16.00""}]"
13,ChIJV6gMcd6MaC4R688NbzW-6eM,Restoran Bambooberry,"Jl. Raya Ciwidey-Rancabali KM.6 Alamendah Rancabali Alamendah Kecamatan Rancabali, Alamendah, Ciwidey, Bandung Regency, West Java 40973",https://lh5.googleusercontent.com/p/AF1QipMq685FPL9YWtkeb7JWT1tw-MbSb7eGIonjnSJO=w408-h272-k-no,1131,Restoran,"[""Restoran"", ""Kafe"", ""Kedai Kopi"", ""Restoran Indonesia"", ""Restoran Sunda""]",4.3,"{""1"": 37, ""2"": 25, ""3"": 124, ""4"": 293, ""5"": 652}","{""latitude"": -7.1219573, ""longitude"": 107.42707209999999}","[{""hour_of_day"": 14, ""average_popularity"": 60.666666666666664, ""time_label"": ""14.00""}, {""hour_of_day"": 13, ""average_popularity"": 60.166666666666664, ""time_label"": ""13.00""}, {""hour_of_day"": 15, ""average_popularity"": 56.5, ""time_label"": ""15.00""}]"
14,ChIJ4VD48h9cby4Ri7xAJQkdF7U,Kedai Kopi Biji,"Jl. Raya Kawali No.164, Mekarjaya, Kec. Baregbeg, Kabupaten Ciamis, Jawa Barat 46274",https://lh5.googleusercontent.com/p/AF1QipNN_cxqA93pSO_SrAXs6p1WOeMyQXaKKXrwgaX3=w480-h240-k-no,1016,Kafe,"[""Kafe"", ""Kedai Kopi""]",4.4,"{""1"": 25, ""2"": 19, ""3"": 97, ""4"": 239, ""5"": 636}","{""latitude"": -7.3097913, ""longitude"": 108.3558789}","[{""hour_of_day"": 19, ""average_popularity"": 72.0, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 69.42857142857143, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 66.42857142857143, ""time_label"": ""18.00""}]"
15,ChIJi8JzIkXkaC4RGtNlmH1NRl4,Venus Cimahi,"Jl. Gandawijaya No.118, Setiamanah, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40524",https://lh5.googleusercontent.com/p/AF1QipN1Nh4F9jPS6ox6PGSnAl149wTXwBGW9osNrqEA=w408-h306-k-no,894,Tujuan Wisata,"[""Tujuan Wisata"", ""Toko Perlengkapan Bayi"", ""Kafe"", ""Toko Pakaian"", ""Pujasera"", ""Taman Bermain Dalam Ruangan"", ""Restoran""]",4.7,"{""1"": 15, ""2"": 8, ""3"": 47, ""4"": 131, ""5"": 693}","{""latitude"": -6.8771707, ""longitude"": 107.54003019999999}","[{""hour_of_day"": 17, ""average_popularity"": 65.42857142857143, ""time_label"": ""17.00""}, {""hour_of_day"": 16, ""average_popularity"": 64.57142857142857, ""time_label"": ""16.00""}, {""hour_of_day"": 15, ""average_popularity"": 61.57142857142857, ""time_label"": ""15.00""}]"
16,ChIJA76ykTO3aS4Ro4Sas_PbR1g,Kembali Ke Alam,"Tugu Utara, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750",https://lh5.googleusercontent.com/p/AF1QipOOV6pBXrQa6g7TsuIVpuo-iQjskjmSvj3JBAHD=w408-h306-k-no,886,Restoran,"[""Restoran"", ""Kafe""]",4.5,"{""1"": 83, ""2"": 20, ""3"": 23, ""4"": 49, ""5"": 711}","{""latitude"": -6.6904758, ""longitude"": 106.9693568}","[{""hour_of_day"": 23, ""average_popularity"": 60.6, ""time_label"": ""23.00""}, {""hour_of_day"": 22, ""average_popularity"": 56.6, ""time_label"": ""22.00""}, {""hour_of_day"": 21, ""average_popularity"": 46.8, ""time_label"": ""21.00""}]"
17,ChIJPzAlKVS3aS4RG00G-_f8Ulc,Richeese Factory Cisarua Bogor,"Jalan Raya Cisarua Puncak, Cisarua, Cisarua, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750",https://lh5.googleusercontent.com/p/AF1QipPBQfRMMg5PPSeJg4OBOcQnPoAtSqhppYFpYP6A=w426-h240-k-no,859,Restoran,"[""Restoran""]",4.4,"{""1"": 39, ""2"": 21, ""3"": 64, ""4"": 153, ""5"": 582}","{""latitude"": -6.6803325, ""longitude"": 106.93197149999999}","[{""hour_of_day"": 18, ""average_popularity"": 77.71428571428571, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 73.0, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 72.71428571428571, ""time_label"": ""17.00""}]"
