,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
0,ChIJi9xUEm2GcC4RZ-mb-eYGu6w,Nissin Cafe & Emporium,"Jalan Raya Semarang - Salatiga Km. 23, Babadan, Gedanganak, Kec. Ungaran Tim., Kabupaten Semarang, Jawa Tengah 50519",https://lh5.googleusercontent.com/p/AF1QipPT6uqcq7-BUJ3Qj0xKiR503olLmKbNTnWWCvvl=w408-h306-k-no,6568,Kafe,"[""Kafe"", ""Restoran Nasi Goreng""]",4.5,"{""1"": 101, ""2"": 86, ""3"": 453, ""4"": 1714, ""5"": 4214}","{""latitude"": -7.160296, ""longitude"": 110.412375}","[{""hour_of_day"": 13, ""average_popularity"": 58.42857142857143, ""time_label"": ""13.00""}, {""hour_of_day"": 12, ""average_popularity"": 57.42857142857143, ""time_label"": ""12.00""}, {""hour_of_day"": 14, ""average_popularity"": 57.42857142857143, ""time_label"": ""14.00""}]"
1,ChIJH_d7nRmGcC4RIZuu1QMR5bA,KFC Ungaran,"Jl. Diponegoro No.280, Genuk Timur, Genuk, Kec. Ungaran Bar., Kabupaten Semarang, Jawa Tengah 50512",https://lh5.googleusercontent.com/p/AF1QipOSV0ic82f6QuluQKfj0MFuYG54wP3yKtlN8nbs=w408-h305-k-no,3291,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Kafe""]",4.3,"{""1"": 122, ""2"": 79, ""3"": 346, ""4"": 848, ""5"": 1896}","{""latitude"": -7.1464875, ""longitude"": 110.4074594}","[{""hour_of_day"": 18, ""average_popularity"": 85.0, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 82.85714285714286, ""time_label"": ""17.00""}, {""hour_of_day"": 19, ""average_popularity"": 81.28571428571429, ""time_label"": ""19.00""}]"
2,ChIJUycXg5wYei4RifNjawOzS3k,Waroeng Spesial Sambal SS Karanganyar,"9WQX+V7C, Ngaliyan, Lalung, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57716",https://lh5.googleusercontent.com/p/AF1QipMWnfqYmolSN7DzHJfrHwkrEXTzBF4qnU5KBRlC=w408-h306-k-no,3185,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Rumah Makan""]",4.3,"{""1"": 152, ""2"": 64, ""3"": 246, ""4"": 789, ""5"": 1934}","{""latitude"": -7.6103111, ""longitude"": 110.9481416}","[{""hour_of_day"": 18, ""average_popularity"": 82.71428571428571, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 76.42857142857143, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 74.28571428571429, ""time_label"": ""17.00""}]"
3,ChIJqYPxhDVYZS4RdAHoNUsGebU,KFC Purbalingga,"Jl. MT. Haryono No.Kav. 5, Dusun 3, Purbalingga Kulon, Kec. Purbalingga, Kabupaten Purbalingga, Jawa Tengah 53312",https://lh5.googleusercontent.com/p/AF1QipPUxdl75qE8NeSLjy0DOck6BA5nFFPpl8uS6HcV=w408-h306-k-no,2758,Restoran Cepat Saji,"[""Restoran Cepat Saji"", ""Kafe""]",4.4,"{""1"": 101, ""2"": 61, ""3"": 207, ""4"": 698, ""5"": 1691}","{""latitude"": -7.3884859, ""longitude"": 109.35516369999999}","[{""hour_of_day"": 18, ""average_popularity"": 80.0, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 79.0, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 74.57142857142857, ""time_label"": ""17.00""}]"
4,ChIJb3Pp-_ETZS4RRPk8vFWn1Nk,Mie Gacoan Cilacap,"Jl. S. Parman, Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipMgvQPZk6JTWgSbjzQGfzUV8o4d7jXWPgzs4np6=w408-h306-k-no,2661,Restoran Indonesia,"[""Restoran Indonesia""]",4.7,"{""1"": 95, ""2"": 30, ""3"": 50, ""4"": 269, ""5"": 2217}","{""latitude"": -7.723541099999999, ""longitude"": 109.0131524}","[{""hour_of_day"": 19, ""average_popularity"": 84.85714285714286, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 81.14285714285714, ""time_label"": ""18.00""}, {""hour_of_day"": 20, ""average_popularity"": 79.28571428571429, ""time_label"": ""20.00""}]"
5,ChIJ39t6JS5cZS4RqQ1XMzFXiKA,Oemah Daun Cafe & Resto,"Jl. KH. Wahid Hasyim No.101 - 103, Windusara, Karangklesem, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53144",https://lh5.googleusercontent.com/p/AF1QipP2c5Ne3f7rm3Btnu7io8CQWFcJmUwRuC8swjHj=w408-h272-k-no,2632,Restoran Keluarga,"[""Restoran Keluarga"", ""Aula serbaguna"", ""Restoran Prasmanan"", ""Kafe"", ""Ruang Serbaguna""]",4.3,"{""1"": 66, ""2"": 48, ""3"": 267, ""4"": 803, ""5"": 1448}","{""latitude"": -7.447113099999999, ""longitude"": 109.24371749999999}","[{""hour_of_day"": 18, ""average_popularity"": 60.714285714285715, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 59.57142857142857, ""time_label"": ""17.00""}, {""hour_of_day"": 12, ""average_popularity"": 57.714285714285715, ""time_label"": ""12.00""}]"
6,ChIJjZmb7JgSZS4R9xzpdi77cBM,"Waroeng Spesial Sambal ""SS"" Cilacap","Prenca, Jl. M.T. Haryono Relokasi No.31, Prenca, Tegalreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53213",https://lh5.googleusercontent.com/p/AF1QipOYepcNDjjjlaaHp9niPX3e1pZjlQ0aKTwl_IJe=w408-h306-k-no,1713,Rumah Makan,"[""Rumah Makan""]",4.3,"{""1"": 78, ""2"": 41, ""3"": 131, ""4"": 425, ""5"": 1038}","{""latitude"": -7.7179744999999995, ""longitude"": 109.0055223}","[{""hour_of_day"": 18, ""average_popularity"": 84.66666666666667, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 83.5, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 77.16666666666667, ""time_label"": ""17.00""}]"
7,ChIJ0wTDVj2pei4RoQQwq3bLAEE,Bebek Goreng H. Slamet,"Jl. Pemuda No.68, Krandegan, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53474",https://lh5.googleusercontent.com/p/AF1QipOK9k1nT1dtVLtjs4_vabz4JqfJvxj3jf4a9Rwp=w426-h240-k-no,1623,Restoran,"[""Restoran""]",4.2,"{""1"": 73, ""2"": 42, ""3"": 219, ""4"": 442, ""5"": 847}","{""latitude"": -7.39645, ""longitude"": 109.69914}","[{""hour_of_day"": 18, ""average_popularity"": 81.0, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 77.42857142857143, ""time_label"": ""17.00""}, {""hour_of_day"": 19, ""average_popularity"": 71.14285714285714, ""time_label"": ""19.00""}]"
8,ChIJ_w_deitfZS4RnJZIMUN6B2g,Kalih Coffee Tea and Spaces,"Jl. Pungkuran No.4, Purwokerto, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115",https://lh5.googleusercontent.com/p/AF1QipMzPRmHczf7U6I4C6lMV7HYavt3AQK4dfoveG9i=w408-h306-k-no,1487,Kedai Kopi,"[""Kedai Kopi""]",4.6,"{""1"": 12, ""2"": 19, ""3"": 47, ""4"": 331, ""5"": 1078}","{""latitude"": -7.4220643, ""longitude"": 109.2300868}","[{""hour_of_day"": 19, ""average_popularity"": 84.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 79.28571428571429, ""time_label"": ""18.00""}, {""hour_of_day"": 20, ""average_popularity"": 79.0, ""time_label"": ""20.00""}]"
9,ChIJ9bK7AuCrei4RPgQBNEVn4U4,Kopi Sabin,"Jl. Mayjend. Panjaitan No.117, Kutabanjarnegara, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53418",https://lh5.googleusercontent.com/p/AF1QipMwzd-qa4TikMnD3uV20-XK4S7MNSQBtK5o_7DA=w408-h306-k-no,1479,Kafe,"[""Kafe"", ""Kedai Kopi"", ""Restoran""]",4.6,"{""1"": 22, ""2"": 12, ""3"": 86, ""4"": 295, ""5"": 1064}","{""latitude"": -7.4008949, ""longitude"": 109.6913976}","[{""hour_of_day"": 20, ""average_popularity"": 66.14285714285714, ""time_label"": ""20.00""}, {""hour_of_day"": 21, ""average_popularity"": 64.85714285714286, ""time_label"": ""21.00""}, {""hour_of_day"": 19, ""average_popularity"": 64.28571428571429, ""time_label"": ""19.00""}]"
