,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
0,ChIJ-YKg7Cso1i0RPNa5m5oN0KQ,Richeese Factory Ijen Malang,"Jl. Besar Ijen No.77A, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119",https://lh5.googleusercontent.com/p/AF1QipNYCVn9y-XPei5olL48n8Ra56YTSgC9kIXYitHx=w408-h306-k-no,8394,Restoran Cepat Saji,"[""Restoran Cepat Saji""]",4.4,"{""1"": 350, ""2"": 132, ""3"": 656, ""4"": 1982, ""5"": 5274}","{""latitude"": -7.9657355999999995, ""longitude"": 112.624516}","[{""hour_of_day"": 20, ""average_popularity"": 77.28571428571429, ""time_label"": ""20.00""}, {""hour_of_day"": 21, ""average_popularity"": 77.28571428571429, ""time_label"": ""21.00""}, {""hour_of_day"": 19, ""average_popularity"": 74.71428571428571, ""time_label"": ""19.00""}]"
1,ChIJd_WC6l_51y0RnnQRnRs7xEc,Bakmi Jogja Trunojoyo,"Nomor, Jl. Tegalsari No.47, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262",https://lh5.googleusercontent.com/p/AF1QipOD6nzBjr5Bn6XsM4tOs6gUuNc28DCzUeIgH2eq=w408-h305-k-no,5963,Restoran Jawa,"[""Restoran Jawa"", ""Restoran Mie""]",4.5,"{""1"": 103, ""2"": 84, ""3"": 412, ""4"": 1498, ""5"": 3866}","{""latitude"": -7.266176499999999, ""longitude"": 112.7376747}","[{""hour_of_day"": 18, ""average_popularity"": 79.5, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 73.16666666666667, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 71.33333333333333, ""time_label"": ""17.00""}]"
2,ChIJpVItxuv71y0RmxHvVR5zRHs,Bon Ami Restaurant - Dr. Soetomo,"Jl. Dr. Soetomo No.94, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264",https://lh5.googleusercontent.com/p/AF1QipMzdEOTUPOQ9GDTiKEZBPXjyFTmKyuyvsWDUgBS=w408-h544-k-no,5911,Restoran Keluarga,"[""Restoran Keluarga"", ""Toko Roti"", ""Restoran Indonesia"", ""Restoran Steak""]",4.6,"{""1"": 76, ""2"": 53, ""3"": 239, ""4"": 1239, ""5"": 4304}","{""latitude"": -7.2833511, ""longitude"": 112.73520219999999}","[{""hour_of_day"": 13, ""average_popularity"": 94.71428571428571, ""time_label"": ""13.00""}, {""hour_of_day"": 12, ""average_popularity"": 93.42857142857143, ""time_label"": ""12.00""}, {""hour_of_day"": 19, ""average_popularity"": 88.85714285714286, ""time_label"": ""19.00""}]"
3,ChIJ-f2H3TaBeC4RIV7_mxgxpU8,Pondok Desa Traditional Restoran Batu,"Jl. Ir. Soekarno No.112, Beji, Kec. Junrejo, Kota Batu, Jawa Timur 65236",https://lh5.googleusercontent.com/p/AF1QipNpQyIw75ZjMvjdL_CyOhAIuNG30HP9qfAuMvsw=w426-h240-k-no,5875,Restoran Seafood,"[""Restoran Seafood"", ""Restoran Indonesia"", ""Restoran""]",4.7,"{""1"": 210, ""2"": 96, ""3"": 212, ""4"": 405, ""5"": 4952}","{""latitude"": -7.894676499999999, ""longitude"": 112.5527176}","[{""hour_of_day"": 18, ""average_popularity"": 70.0, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 67.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 63.285714285714285, ""time_label"": ""17.00""}]"
4,ChIJxcKNTzSHeC4R5p55MMNSGgQ,WARUNK WOW KWB,"Jl. Panglima Sudirman No.39, Ngaglik, Kec. Batu, Kota Batu, Jawa Timur 65311",https://lh5.googleusercontent.com/p/AF1QipN2cBa9HAUC7x8GGGiJMdQz_XdNoEk0b2qjSoFV=w408-h544-k-no,4845,Restoran,"[""Restoran"", ""Kafe"", ""Panggung Musik"", ""Lounge"", ""Bar Olahraga""]",4.4,"{""1"": 141, ""2"": 98, ""3"": 351, ""4"": 1110, ""5"": 3145}","{""latitude"": -7.86937, ""longitude"": 112.52105429999999}","[{""hour_of_day"": 22, ""average_popularity"": 62.42857142857143, ""time_label"": ""22.00""}, {""hour_of_day"": 21, ""average_popularity"": 60.0, ""time_label"": ""21.00""}, {""hour_of_day"": 23, ""average_popularity"": 57.142857142857146, ""time_label"": ""23.00""}]"
5,ChIJue7fcOD71y0Rsa8tO1xTy98,Bon Ami Restaurant - Kombes Pol. M. Duryat,"Jl. Kombes Pol. Moh. Duryat No.27, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262",https://lh5.googleusercontent.com/p/AF1QipOf8mnVwc0ruBz0zw3SisIfkdykDUD9oPh64Occ=w408-h306-k-no,4673,Restoran Keluarga,"[""Restoran Keluarga"", ""Toko Roti"", ""Restoran Indonesia"", ""Restoran Steak""]",4.6,"{""1"": 50, ""2"": 37, ""3"": 201, ""4"": 1029, ""5"": 3356}","{""latitude"": -7.268888899999999, ""longitude"": 112.7386167}","[{""hour_of_day"": 19, ""average_popularity"": 81.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 80.85714285714286, ""time_label"": ""18.00""}, {""hour_of_day"": 13, ""average_popularity"": 69.28571428571429, ""time_label"": ""13.00""}]"
6,ChIJxejbmBOBeC4R6Yd7w6-eHF0,Ayam Goreng Nelongso kota Batu,"Jl. Brantas No.8, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65314",https://lh5.googleusercontent.com/p/AF1QipMhzv9E3G3iNfyzv3f1yr6ZfxckvnnLnDsWAPyZ=w426-h240-k-no,3542,Restoran takeaway ayam goreng,"[""Restoran takeaway ayam goreng"", ""Restoran Masakan Ayam""]",4.1,"{""1"": 283, ""2"": 137, ""3"": 433, ""4"": 773, ""5"": 1916}","{""latitude"": -7.8679846, ""longitude"": 112.52519869999999}","[{""hour_of_day"": 19, ""average_popularity"": 71.85714285714286, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 69.57142857142857, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 69.14285714285714, ""time_label"": ""18.00""}]"
7,ChIJF0HxIxydeC4Rb8DebRrnvaU,Lafayette Coffee & Eatery,"Jl. Semeru No.2, RW.4, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119",https://lh5.googleusercontent.com/p/AF1QipPXekAGjtjDs5SH7WkOhwKHkWvuCYGA_oMWppWX=w408-h510-k-no,3536,Kafe,"[""Kafe"", ""Restoran""]",4.4,"{""1"": 183, ""2"": 97, ""3"": 169, ""4"": 592, ""5"": 2495}","{""latitude"": -7.976221499999999, ""longitude"": 112.62923599999999}","[{""hour_of_day"": 19, ""average_popularity"": 69.0, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 64.85714285714286, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 63.714285714285715, ""time_label"": ""18.00""}]"
8,ChIJE3vIWSYo1i0RsmTH84sesRw,My Kopi O! Malang,"Jl. Tenes No.14, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119",https://lh5.googleusercontent.com/p/AF1QipN4p0MZrBiGx9sOQH3HzgmTqckWZczeyKB6S2jm=w408-h271-k-no,3405,Restoran,"[""Restoran"", ""Bistro"", ""Kedai Kopi""]",4.6,"{""1"": 61, ""2"": 29, ""3"": 136, ""4"": 761, ""5"": 2418}","{""latitude"": -7.9748034, ""longitude"": 112.6235308}","[{""hour_of_day"": 18, ""average_popularity"": 85.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 79.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 78.42857142857143, ""time_label"": ""17.00""}]"
9,ChIJH9fSTxeBeC4RgZavPxw3BgI,Niki Kopitiam Restaurant,"Jl. Ir. Soekarno No.125, Beji, Kec. Junrejo, Kota Batu, Jawa Timur 65236",https://lh5.googleusercontent.com/p/AF1QipMvCdcDfN0EdpCWHPv5aVHGbfy9CMPmve7X_ruV=w408-h306-k-no,2977,Restoran,"[""Restoran"", ""Kafe""]",4.5,"{""1"": 39, ""2"": 31, ""3"": 220, ""4"": 742, ""5"": 1945}","{""latitude"": -7.895153199999999, ""longitude"": 112.55340179999999}","[{""hour_of_day"": 19, ""average_popularity"": 61.0, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 60.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 50.714285714285715, ""time_label"": ""17.00""}]"
