place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,765d3bba2e01115ab35db2e51dee5df8,5,"Every year we break the fast together at Ajwaad restaurant Apart from providing sharing menus, the menus at Ajwad are also delicious and definitely Halal, God willing.",an hour ago,2024-05-13 21:51:53.227216,,,,0,22,102,True,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,62dbe56d11f41a3380c2cffcf2fc99b7,5,,an hour ago,2024-05-13 21:51:53.227216,,,,0,2,13,False,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,a5420d18bc6d31942e4fde24499c79dd,5,Good,18 hours ago,2024-05-13 04:51:53.237493,,,,0,9,3,True,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,4a1262faf43ac1d67af4d2d76a757089,5,"Really delicious, MasyaAllah, the portions are also big, according to the price. the place and service are really cool, comfortable",a day ago,2024-05-12 22:51:53.240306,,,,0,16,26,False,"enak banget masyaAllah, porsinya juga gede, sesuai sama harganya. tempat dan pelayanannya adem bangettt, nyaman",
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,06db4fd06e4b260ea0f8117d7e01071c,5,,a day ago,2024-05-12 22:51:53.240306,,,,0,23,4,True,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,7191ff88ece6c98fafd120edbde82365,5,"Masyaa Allah... Tabarakallah, a complete food menu with typical Arabic flavors, Basmati Rice with special restaurant spices. The waiters were friendly and kind. If all the calls to prayer were stopped for congregational prayers at the mosque, the staff had time for me to join Alhamdulillah at Imami by the direct owner, Ustad Khalid Basamallah, for congregational prayers there was a cult from him. Oh yes, if the call to prayer is immediate because the mosque is very full and there is a queue for 3-4 taps for ablution",2 days ago,2024-05-11 22:51:53.246133,,,,1,374,3535,True,Masyaa Allah   Tabarakallah menu makanan lengkap rasa Arab khas Nasi Basmati dengan rempah khusus Restoran khasnya. Pelayan pun ramah-ramah dan baik. Jika azan semua dihentikan untuk sholat berjamaah di mesjid para pagawainya sempat saya ikut Alhamdulillah di Imami oleh owner langsung Ustad Khalid Basamallah bada sholat jamaah ada kultum dari beliau. Oh ya jika azan segera karena mesjid nya penuh banget serta wudhu antri 3-4 kran,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,a3ddb77754dcd434c422110d016b3093,4,,3 days ago,2024-05-10 22:51:53.248647,,,,0,26,201,True,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,c08187742d37f434957511b5b27c026e,5,"a pleasant place to eat, the food is delicious, the service is fast and polite, it doesnt take long to wait for the dish you ordered, the price is according to taste",3 days ago,2024-05-10 22:51:53.251122,,,,0,26,4,True,tempat makan yg menyenangkan makanannya enak pelayanannya cepat dan sopan tdk lama menunggu hidangan yg dipesan harga sesuai rasa,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,e3f6a835be8336d4097e169e208e8cb4,5,"Affordable prices, delicious food, unique place^^",3 days ago,2024-05-10 22:51:53.254017,,,,0,2,3,False,"Harga Terjangkau, makanan enak, tempat unik^^",
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,cffcf6fe1f17f11a1fe8b509a9003b27,5,Recommended! Nice food,4 days ago,2024-05-09 22:51:53.257025,,,,0,10,10,False,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,d822f732f19cb6befddc355fc2005255,5,Alhamdulillaah mantaapp,4 days ago,2024-05-09 22:51:54.124189,,,,0,7,7,False,Alhamdulillaah mantaappp,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,05728dcb9fe7a95822466a1fd9cc3286,5,,4 days ago,2024-05-09 22:51:54.127370,,,,0,,,,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,79251f19c3260531523d39b5d7567ea4,5,,4 days ago,2024-05-09 22:51:54.129597,,,,0,3,,True,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,edeffb9cebb04be5003323b8ee44b821,5,The menu/taste is very satisfying. Have been here several times and always satisfied. But dont forget to pay the Regional Tax/Restaurant Tax. :),4 days ago,2024-05-09 22:51:54.129597,,,,0,8,23,False,Menu/citarasanya sangat memuaskan. Sudah beberapa kali kesini dan selalu puas. Tapi jangan lupa bayar Pajak Daerah/Pajak Restorannya ya. :),
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,69fa788188387a5eb397e755b655d24e,5,,4 days ago,2024-05-09 22:51:54.133759,,,,0,,,,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,4ee4be8bcbe3edd8f2997c6b02534516,5,,5 days ago,2024-05-08 22:51:54.133759,,,,0,1,,False,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,620aa0c36ef3a1eeaf62ee983896be13,5,,5 days ago,2024-05-08 22:51:54.133759,,,,0,6,1,False,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,6f2bf364d178ed4095ac9c6ae3f7b933,5,,5 days ago,2024-05-08 22:51:54.133759,,,,0,1,2,False,,
ChIJAxml5HryaS4RasiFwwBm1u0,Ajwad Resto,6e3741b4e1228e391d8ee3f05ee857dd,5,"As for the food, it definitely wont disappoint. And lots of various drinks. Ive eaten there 5 times. The place is nice and there are lots of rooms, especially large family rooms with air conditioning. Kid-friendliness: There are various menu options available. What we can be certain of is",5 days ago,2024-05-08 22:51:54.144231,,,,0,70,30,True,Untuk makanan rasa pasti tidak mengecewakan. Dan banyak berbagai minuman. Udh ke 5x makan disana. Tempatnya enak ruangan juga banyak ada juga ruangan kusus keluaega besar dan ber AC. Kid-friendliness: Untuk ada ada berbagai menu pilihan. Pastinya,
