place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,d20a28ec01aff5c69d92d1649d20e346,1,Pelayanan ga ramah..kapok,20 hours ago,2024-05-14 16:30:14.079307,,,,0,2,,False,Service is not friendly...give up,
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,28ce135752f4a6bca5b2a969cbef666e,5,"Tempatnya bagus karena ada hamparan kebun mangga gincu, datang sore hari lebih bagus sampai malam lihat city light dari kejauhan.",3 days ago,2024-05-12 12:30:14.080307,,,,0,27,15,True,"The place is good because there is an expanse of gincu mango gardens, its better to come in the afternoon until evening and see the city lights from a distance.",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,4fb47fa50d19d9e3697e33fcec4dcc24,5,"Tempat nya nyaman, suasana sejuk, pelayanan ramah, makanan juga enak",a week ago,2024-05-08 12:30:14.082306,,,,0,16,21,True,"The place is comfortable, the atmosphere is cool, the service is friendly, the food is also delicious",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,68d768b87d195d7278498d9941c76500,5,Sejuk dan damai untuk bertemu dengan suana kebun gincu.,a week ago,2024-05-08 12:30:14.084306,,,,0,2,,False,Cool and peaceful to meet the atmosphere of the lipstick garden.,
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,e5880b4c7b8ad45fc85fcaf837b4f0ca,4,,a week ago,2024-05-08 12:30:14.085306,,,,0,4,1,False,,
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,14f0011b1a502fcfdfb8050a2b6cfe31,4,"Tempat makan recommend utk keluarga, cocok utk anak2, ada kolam renangnya, pemandangannya bagus, asri, adem Nasi gorengnya enak Utk waitressnya jutek, kurang ramah, tlong perbaiki lgi",2 weeks ago,2024-05-01 12:30:14.087306,,,,0,6,26,True,"Recommended place to eat for families, suitable for children, there is a swimming pool, the view is nice, beautiful, cool The fried rice is delicious The waitress is rude, not friendly, please improve it again",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,de892323efec6cb3cb409834e4621ace,5,"Menjadikan Motivasi bagi para Kelompok Tani khususnya Hortikultura Mangga Gincu, dlam mengembangkan Budidaya, Agro Busnis, dan Agrowisata.",2 weeks ago,2024-05-01 12:30:14.088306,,,,0,15,6,False,"Providing motivation for farmer groups, especially Mango Gincu Horticulture, in developing Cultivation, Agro-Business and Agro-tourism.",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,a5587c28396295b674295662d905add1,5,,3 weeks ago,2024-04-24 12:30:14.090306,,,,0,1,1,False,,
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,9315cae2d1f4251417c535e27decae6b,5,Nice place pokoknya mah,3 weeks ago,2024-04-24 12:30:14.091306,,,,0,12,3,False,Nice place anyway,
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,d9ada0f89b46f4fcbab77577942d352b,1,"Pesen latte ternyata pake cup plastik murah pdhl harganya diatas j*nji ji*a. Rainbow slide mahal, 20k/1x meluncur. Yg paling bikin sebel bbrp hr lalu kesana lg & PELAYANAN SUPER LELET. 1,5 jam yg dtg cuma makanan & minum blm, pdhl cust yg dtg setelah sy semua pesanannya sdh ada. Berkali2 minta dipercepat tp zonk, akhirnya dtg ke kasir minta dibikin saat itu jg sambil di tungguin. Itupun salah pesanan, pesan 1 ice tea yg dtg 3 & masuk ke bill jd terpaksa dibayar. Mungkin kekurangan karyawan krn wkt itu ada gathering, yg melayani gathering + pengunjung biasa pelayan nya itu2 aja. Tp no excuse ya, yg namanya buka usaha hrs punya manajemen waktu yg baik. Soalnya emg dr awal buka s/d sekarang, kopi gincu ini pelayanannya lelet bahkan saat sepi pengunjung. Owner & management nya tolonglah berbenah",3 weeks ago,2024-04-24 12:30:14.093306,,,,2,2,1,False,"Ordering a latte turned out to be in a cheap plastic cup even though the price was above promise. Rainbow slide is expensive, 20k/1x slide. The most annoying thing is that I went there again a few days ago & THE SERVICE WAS SUPER SLOW. After 1.5 hours, only food and drink arrived, even though the customer who arrived after me had all the orders. I asked several times to speed it up but I was stuck, finally I came to the cashier and asked to make it right then and there while waiting. Even then the order was wrong, ordered 1 ice tea which came 3 & was added to the bill so I had to pay. Maybe there was a shortage of employees because at that time there was a gathering, those who served the gathering + the usual waiters were the only ones. But no excuse, opening a business requires good time management. The problem is that from when it first opened until now, this gincu coffee service has been slow even when there are few visitors. Owner & management, please improve",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,ca41ce053dc705cc9ff97b196f8faad4,4,"Menu makanan sedikit, toilet kurang bersih, mushola kurang luas, yg paling asik ada wahana sluncur rainbow & live music, ada tenda2an tp kl hujan ambyar",4 weeks ago,2024-04-17 12:30:14.621537,,,,0,31,11,True,"The food menu is small, the toilets are not clean, the prayer room is not spacious enough, the most fun thing is the rainbow slide & live music, there are tents but if it rains they fall apart",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,607c600cd987a7fea2cbaf8a35b7d942,1,"Order palm sugar coffee to drink on the spot. How come its not full, using a plastic cup and the price is 26 thousand. This is a cafe, not a roadside ice shop.",a month ago,2024-04-15 12:30:14.623537,,,,0,7,2,False,,
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,e103831ee2f936cf854f97d9048a5b19,5,Makanan nya enak bgttt apalagi nasi goreng nya. Pelayanan nya ramah jugaaa,a month ago,2024-04-15 12:30:14.625537,,,,0,41,25,True,"The food is really delicious, especially the fried rice. The service is friendly too",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,4fbf02355e130f612bf033acaa6297cd,1,"Padahal kopi gincu ini udah punya nama, cuma dari pelayanan kurang mulai dari meja yang lama dibersihinnya, kemudian komunikasi antar pelayan masih sangat kurang, keramahan dan profesionalitas dari pelayan juga kurang. Saya harap pelayan2 di kopi gincu lebih diperhatikan lagi kualitas dan profesionalitasnya terutama dalam kesigapannya. Saya datang ke sini saat kondisi caffee sedang ramai tetapi kesigapannya sangat kurang dan banyak terjadi miskomunikasi. Saya harap pemilik kafe juga bisa memperhatikan kembali terkait penggunaan teknologi yg bisa mempermudah komunikasi antara pelanggan dan pelayan agar tidak terjadi kembali Miss komunikasi seperti ini. Untuk tempatnya sendiri kopi gincu ini sudah tergolong strategis dan lumayan nyaman, tetapi pelayanannya masih sangat amat kurang bagus.",a month ago,2024-04-15 12:30:14.626537,,,,0,1,,False,"Even though this gincu coffee already has a name, the service is just lacking - starting from the tables taking a long time to clean, then the communication between the waiters is still very lacking, the friendliness and professionalism of the waiters are also lacking. I hope the waiters at Gincu Coffee pay more attention to their quality and professionalism, especially their alertness. I came here when the cafe was busy but the alertness was very poor and there was a lot of miscommunication. I hope that cafe owners can also pay attention to the use of technology that can facilitate communication between customers and waiters so that communication errors like this dont happen again. As for the place itself, this gincu coffee is considered strategic and quite comfortable, but the service is still very, very poor.",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,819f46f01eefe26975666117e74d963e,1,Pelayanan buruk minum lama banget padahal makanan dh abis.,a month ago,2024-04-15 12:30:14.628537,,,,0,1,,False,"Bad service, drinking took a long time even though the food had already finished.",
ChIJLzaWrUcbby4Rp1I3pbBYm7k,Kopi Gincu,e7710a97b28d22a07d20d8b14c10d1a0,5,,a month ago,2024-04-15 12:30:14.630537,,,,0,1,,False,,
