,place_id,review_id_hash,rating,published_at_date,english_review,sentiment
177714,ChIJz8rlhCm0aS4Rv3-Vr0H7bXE,4743701fd0e202d53041b70c2a0e1feb,1,2023-10-11,"Seriously, the management really needs to be improved OK, tourist attractions know the price is definitely more expensive than regular stalls, Indomie 20 thousand doesnt matter, its reasonable at that peak. But do you know what? Sweet iced tea makes 1 tea bag for 5-8 cups, its just water and sugar, so dont stir it. Those who work also dont get angry in front of customers. There were only 4 of them even though the order wasnt much. It really has to be repaired again, everything is really bad, to the point where a visitor wants to return their order before it arrives hahahaha",0
305192,ChIJ01BPhzH51y0RbJO7cHYCVyY,750e206e164f5b910db319513f82a0b7,1,2024-03-12,Kang parkir ngemis motor 3000,0
444573,ChIJnYC3rjz7ei4Rx4ccpBEh6FA,d3efe7dfc516313c80240f24f874821e,2,2023-05-14,"The food is not bad, the place is also spacious but sorry for the service, maybe it can be improved",0
41779,ChIJcQVVnTLxaS4Ra2Kya9hsAsQ,2729eaac3afabdd0229b6a1dd9e3ed03,1,2024-04-22,"pertamabahan biayaya mixing hours gaada konfirmasi sama sekali bahkan klo ga saya yang tanya gaada pemberitahuan awal, gaada deal pas di tanya juga cuma bingung jelasin nya kapok sama pelayanan nya sangat ga recommend cukup sekali, ga masuk akal ga professional.",0
253635,ChIJr2o9J7OPei4R2hV-0pZXijU,625a8286c6c20abe0a5796d4b1382146,3,2023-11-14,"Ive been here twice... I dont know why... The F&B section really takes a long time, doesnt it? It turns out theres no change.. Even though the coffee is delicious.. My husband is waiting outside... Just queuing for one coffee.. Theres nothing else.. The other guy is really friendly... But thats the one who makes coffee, you know... Oh my God.. Between being slow.. Or being really cool as to mix things up for himself.. At home alone.. Even though Im next to the bar.. Im excited.., go forward to the front of the bar, then his friend just helps him.. Even though the place is also nice... Maybe if youre in a place you dont feel people hanging out... If its Take Away...??",0
372776,ChIJjRmbxj0p1y0RJyZNZb1_HEY,8caf0691a211a3da195b97d5560ace4f,3,2022-05-14,Good,0
349361,ChIJwcc6mvLzdy4RtMVlc1D5LNo,5c439031e3dbbdf86eac00310772c41c,1,2023-05-14,"Those who guard the stall dont have good manners, serve food rudely or carelessly, especially those who wear morning shift hats.",0
79624,ChIJuUiv0N31aS4RabdtbUORP70,eb21eab5773275353aeeff2e49870c27,1,2024-05-03,"It started with an influencer with long, skinny hair who shared his experience of the pleasure of eating soto marrow. It turned out that after trying it for himself a long time ago, he really didnt recommend the contents, it was only moderate and the marrow was only a small portion, it was even more surprising when you paid 51 thousand for a portion, the katro influencer was also cheated, If anyone wants to feel pain but not bleed, please come, I dont want to, I dont want to get paid either.",0
112926,ChIJS4z3_qz5aS4RubNXIkwzgX8,649de29d5d292c4d2eb604e1f479c669,3,2023-05-10,"Comfortable, calm place... for the taste of red fried rice (not spicy) because it was requested but its a shame its very salty, then for the chicken karage snack its also a bit salty (then the fried rice is cooked on the outside and the inside isnt really cooked so theres still red) Wheelchair accessibility: There isnt any yet..",0
454483,ChIJD92Xq2VZei4RMEMGjjgv3PQ,553b43feebba8d842aa42b8e13e714ad,3,2024-01-14,"Im satisfied. My time speed.. is a bit tight. HOPE YOU CAN RETURN WITH YOU, HANDAI TOLAN.. OK TRIMS",0
44047,ChIJnaWtv9_waS4RxFhZxdmbuzo,e648b82a562aa01ec173f9496b32bcd8,2,2024-04-29,Hari gini pemesanan diatas sejuta kudu bayar cash lokasi atm gak ada yg deket dr sini ini mau bayar aja sulit ya bukan ngutang loh mbak Bahkan minta norek utk bayar peaenan pun  gak dpt Hadeuhhhhh,0
402282,ChIJ4SmfZ3Gzey4RpPQUGiGr7sU,e0a4e94be2623d05c0509c0d56cb6fda,3,2024-02-12,"The place is indeed spacious and beautiful but it turns out the food is just chicken and fried food and the portions are a bit small, let alone the fries, the prices are expensive, especially when you buy lemon tea and oranges, everything tastes sour until youre barely able to finish it, if you dont finish it, its a shame because its expensive",0
408541,ChIJA5bIpJRXei4RjDHIZLbhp0k,08934ca4b558daafb1d814780dea97d1,1,2020-05-12,"Buy 1 whole milk, ginger milk, hazelnut mix with hot ginger, fried banana with chocolate cheese, and mendoan. It turns out you only use a cup for the pure milk, the ginger milk uses 2 slices of Frisian flag ginger milk, it doesnt taste like ginger, the hazelnuts actually taste like good day, the ginger wedhang uses fragrant ginger, the banana is sliced as sharp as a razor. For that price, you can get more at other cafes. Tsk... beyond expectations",0
23743,ChIJFywCqVXsaS4RaHSJndIIAbw,d4933730e5e660b7bf8920054f221d66,1,2024-01-13,"The service was absolutely zero, when I wrote my order, I asked the boss to write the order and it said, just tell the cashier. Waited more than an hour and didnt know if it had been made yet. where are you??? Do male employees need training??? At least there is an apology to the customer, what about the owner?",0
304511,ChIJE8jFAApg1i0RITModvvg3Og,859bb0e9d5361059aeb9ca693f83f314,3,2020-05-12,The roof is too short. :v,0
337295,ChIJI1UNjRT71y0RxbqEJQaE51g,78c13cb77792fde336fb305e59bcce3e,3,2024-04-23,Just make it smoother & take the handling of facilities etc. more seriously,0
118408,ChIJB9dDn5v7aS4RRcvZzbYL8xI,3c4320891590110a88ba579e50d775fc,1,2023-10-10,"I used to come here a lot when it was still called Teras Hutari but now its different, Ive changed to joining Kopi Peruri and the first time I came here, I had a bad experience from one of the baristas in terms of food service. It was bad, I had to wait a long time (with the excuse of waiting first in the kitchen. Im still picking up, with a deal OK), because my friends order was just noodles, it was taking a really long time, I was still patient. When I complained, I was even gassed in a high tone by the second barista, the complaint case was that the food ordered was more than 1/2 hour before I ordered it. , the staff doesnt give the bill payment. Even though complaining is the customers right. The staff no say sorry at all Plus the food is not complete, different from the previous Hutari terrace.",0
80690,ChIJUfLHq9_3aS4RkskJN6yEUpE,08dcd8adc939a4bdac7407d4ce4a5f88,1,2023-05-10,Long,0
207014,ChIJK7eQUmHlaC4RIYN65FSuVmg,f2d95110c052b86241b75efa6f83db02,1,2024-04-15,I dont really feel like Im disappointed,0
181534,ChIJ4yxO1Du2aS4RJlbcg3gpx0A,44b782cd6222bc9eb590180f52880be4,1,2024-01-11,Food,0
317025,ChIJPUQ6A86AeC4R_Xwd4i3Ybyg,d27be7fd70c2cd38aa6ac8a0b18040d1,2,2020-05-12,Bad taste,0
252867,ChIJVVVVVSEfcS4ROIaSiVOIuqw,9f3b6c94c7f2cd2b6213c34fc1cb9eda,1,2023-11-14,"unfriendly service has no ethics, one room is only for 2 people, the other is charged a 50% cash fee. My suggestion is that if you want to build an accommodation, the rules are justified and the selection of employees. very disappointing",0
329063,ChIJ4zfd3xL71y0R2Z3YE7EuaQQ,99b9e98fc3b61e0b85da3614025a54a5,1,2024-04-14,"OK food, OK place, OK taste, OK service For those of you who are not Chinese, it seems like you have no self-respect in this place thats all",0
338437,ChIJYe0JDna_eS4RfUNBJl6lNC4,437034b17529eb2242de14cb2f161222,3,2024-02-14,"Already subscribed here. All the food is delicious. Good service. Its just the onion rings that always disappoint. When it first launched, it was really delicious, but after that I ordered again several times, the texture was hard and tough. The flour mixture is never the same. Please fix it.",0
42475,ChIJg6CSSdPxaS4RlYn2u7LRHmM,f70a0fecfe0d73a44d29da36b1c128f4,2,2024-04-13,"Location: UG Floor, near the office tower intersection [Disclaimer: based on personal experience] Taste: so so, not a big fan of kecombrang and the rib was meh Portion: average Service: I can tell you guys are exhausted but it is your job to provide a good service that will leave a pleasant memory to the customer. The lady looked so PISSSED OFF when I was gonna redeem the voucher from Ismaya app. Not to mention that I got no spoon in the spoon holder thingy and I had to ask for a cutlery Like.. I came here to eat with a cutlery not with my bare hands Ambiance: cramped and crowded Will I come back? Probably not. Overall just another overpriced, overhyped, average food and meh service place to eat",0
237672,ChIJPwJGFxsZei4R2gMjLUPs69E,7962ea3aad9238710e18dce2d13d2f88,3,2024-04-30,"Not enough, it seems like I dont want the food. Katsu 19k",0
313746,ChIJscHjKIwNeC4R_Ed_n2BzbsE,4e77c035025d2c68b45e7fabe07c8c54,3,2020-05-12,Awesome,0
60818,ChIJt7BFRq33aS4RingQH7_Ei8Y,9040bad25d4e79ef731049419238bea6,1,2024-02-10,gokill food 1 wait 1 hour the service is also really great and the employees 0 atitude,0
403091,ChIJ-zgovCNYei4R2-eIszXU7v8,079bef3a0500f8564c76518ed38e42db,3,2023-06-12,I invited my friend to try the menu here... Looks like the taste is typical of Tio-chiu... I ordered Cha p-chhai... It just feels normal...a bit disappointed... Dont know if the other menu... Try it sometime...,0
318316,ChIJqeEE6rqTeS4RbkYMOP406W8,309e85514a0b9515b6d0aab31ec1c5d6,1,2020-05-12,"Expensive parking, no friendly sellers, I thought I bought it for 15k and got change even though it was a little when I paid, it was 30+, I hope I get rich quickly.",0
129930,ChIJG5CA89sFQi4RGfAKAxnMpu8,73e92c10623aa67386bf504964980bc3,1,2023-11-10,"If you want to buy the place, you cant even though you want to buy the cone type, dont buy Cisoka dimixue, the service is very bad.",0
145747,ChIJkQu95b_7aS4RrqlsFn3pW0Y,4d00675f1f2611e354b2dfa532db0a21,1,2023-09-14,"The restaurant doesnt understand how to get online orders, it takes a really long time to handle it, its important for those who come in and its unfair because Im just ojol",0
271790,ChIJqaqq_cnrei4RXNFo08upK50,abf204fe962438475f895095d3caa424,1,2024-05-07,Service is less than satisfactory,0
312634,ChIJxW1ekXX71y0RzVZdvsjrqyA,47ab2d60c9201c089693eeae87f0036c,3,2020-05-12,"The cafe in the Royal Plaza is the best because we are treated to a beautiful view of the city of Surabaya. The food is quite delicious, prices tend to be more expensive than the price of food at Royal Plaza in general. Its a shame because payment can only be made in cash. Add debit, OVO, GoPay, etc. payment options because the ATM center at Royal Plaza is quite far from the cafe.",0
176011,ChIJLzwqV_sJby4Rd00_eWLRODw,12e08fa887e5dacd60c765bdc6c4026b,3,2021-05-11,Simple,0
384908,ChIJ7zhQYwVXei4RDUArz2uOkQU,2cff8e3482b65f2c7541bf4833a64192,3,2024-01-12,"the baby chair is dirty, dusty and not well maintained. If you want to use it, you have to clean it yourself, even though restaurants tend to be quiet, which means the staff are not too busy serving. makes it uncomfortable to bring children. Please pay attention to the cleanliness of the facilities.",0
308742,ChIJKTmIl7mt1y0RTqxTnwFtkjw,47919e7585a3abe5d63a03ca47ff3596,1,2024-04-12,"THE RICE IS LESS COOKED BRO, MAKES BREAK LESS APPETITE.",0
235727,ChIJhx0sBFJeZS4R-RUCD38Kysc,8ecb60e0f056a9d32d723c4e73b0fa9f,3,2023-09-14,"I think every time a new order is made it turns out its already cooked, so when its served the block cake is already cold and quite hard",0
235582,ChIJZVSk3Y4hei4R55sP4fEPJrk,0235e506246703197a270048db202d86,1,2024-04-14,"Bad service, the order was waited for 1 and a half hours but it wasnt made even though the restaurant was quiet. So after waiting a long time I didnt get food, I only got a drink",0
368387,ChIJL4uKTTVb0S0RFVaRN2BU-kk,243f275de338336d8562f20820a8e100,1,2024-02-14,Small place. Parking is rare.,0
170955,ChIJhStFvUubZS4Rn1N1Grj3kGY,9b2110ad2182a66c51d9d0a2d02f4a58,2,2024-04-27,Service is very unfriendly,0
151750,ChIJ7R7oTxX5aS4R0rLxSJ_MAG0,3e7c64cf4d28fa0b4127cd5af9335c0b,2,2024-04-14,"Orders take a long time to be served, they should be more professional by preparing how to handle them so they dont take too long to be served",0
53804,ChIJ-YR4IDn1aS4RRLZpcJiRSHU,bca0f0c4659efbc5f3eb0395c91b46bc,1,2024-01-10,"I was really disappointed with this cafe because last night my family and I ordered food and were rushed by the restaurant waiter... even though it was still 2 hours before the cafe closed (closes at 22 oclock). Then we just wanted to order smoothies and were refused. My child is still eating, we have been given a bill and told to pay..we are still drinking..some of the lights have been turned off..and they are getting ready to clean the room (still 1 hour before closing)...it seems to chase away those of us who are still eating...even though we are eating. for almost a million... weve given up and wont eat at this cafe again",0
362787,ChIJ8Y4iJ1PX1y0RRja_OoCKOAo,5b5be29e26017e0834cbbfc33e5a6a5c,2,2020-05-14,I gave 2 stars because I didnt know the place,0
236955,ChIJJ8Fa035ZZS4RdY20a7toa1k,e9cabe2607d393ef3fd9645b1a0c0619,2,2024-04-14,"The place is actually nice, but the service is lacking in my opinion, the serving of food for breaking the fast is too busy, the 5 sets that come there are already served at the table until the chicken ordered has a lot of moles, then the ice cream is served at the same time even though its for breaking the fast, right? automatically when I opened it it had already melted, the drink took a really long time to come, I had eaten half an hour then the new drink came, its a drag, bro, I dont want to drink it    for the food 3/5 huh",0
115524,ChIJhxxUXOoFQi4RxqU4RfcAekc,150489c66a5fb6bf4e9e252a3f14da19,3,2024-04-10,"The food is quite delicious, Service, the waiters tend to get confused when there are too many customers, maybe because they rely on looking at the order number but dont mention it while bringing the order, there is one of the waiters, Ms. Sis, who is on set, bringing the order while saying the order number, so the owner of the number immediately realizes that the order is out of date. , I dont know what the name of the lady is, but I salute you when you deliver orders. The response when asked by customers was quite informative. nice atmosphere in the rice fields. the one above is just normal. Parking: There is parking, dont worry. free parking",0
209649,ChIJJaHG0yWYZS4RPM2SsSAq8G8,43d41d37756c45710000b151b90988e1,3,2022-05-15,Spy has hand washing soap available,0
185053,ChIJAfiNdkfDaC4RRKap4Q12x9E,46e64552eaf89226854502af379f29a5,1,2022-05-14,The restaurant is old,0
380092,ChIJDSwEgk371y0RgFbct2xVz_g,542ed24d9f171674abb166b5db688bd2,3,2023-05-14,"Coincidentally, I got maranggi satay but the meat was a bit stale",0
48324,ChIJCWnsMHnzaS4RtKe6IGjcJVk,b89d9694c3b95874774d3455d753d41b,1,2023-10-13,"Dulu kalau nemani pasien, bisa kerja dr kantin. Skrg nemani pasien ICU tp ga bs kerja. Beneran diminta bengong tanpa kegiatan",0
456481,ChIJOdiSiAlZei4RQFRvf2GYiWI,3071f214adc335b8bf072e9b96b51b29,2,2024-01-14,"Actually, the place is really good, the polls are quiet and very elegant, but the service is not very good, when you were chatting at the front it was your turn to be asked for sauce, not given a new place, asked for tissues, all of them were empty, instead you took the tissue using your hand, it wasnt very hygienic, Miss, I went there at noon, the same as the shift change, I think but the lady who just came in is not as friendly as the previous one, the food is not bad but not too good bye",0
144482,ChIJs23XExXvaS4RcWsklCRFrC0,b0344d271ef45be52ba3f9a1700b188e,1,2023-08-14,"All you cant wait for food to wait so long, no longer eat here Ive eaten three of them, so little food comes out The service sucks The price may be a bit cheap but its really disappointing",0
111637,ChIJAw_FQLkfQi4RTEfJ4kc2CuU,2b6621f00a6992a569128916a7ba98b2,3,2024-04-10,the food didnt taste at all...the dish at the bukber event was prepared long before sunset so it was cold...the iced tea was not in a good place,0
196504,ChIJXeIMRqPnaC4R4ZcOniI58QY,616dd4544ceb342624910c536907a997,1,2022-05-14,"I ordered oxtail soup and was given bone soup..it was so bad that my teeth were chipped..watch the quality, dont just serve it casually..",0
107015,ChIJB9K5QXf3aS4RYUJ7UGKA5ds,3c277fcf36fe71944b22ff32dcec27a3,1,2023-12-10,Worst customer service Ive dealt with in my life. Mrs. Margaretty Naolin cuts calls off in the middle after telling us to shut up. There are no conflict resolution and the issue is not resolved either. We have been dealing with this issue for a month. And were paying customers too,0
395454,ChIJk4oYXUxZei4R8JrSwOb_iak,e627a245f5e0382ac042c6a6b2535223,1,2024-05-10,"the hospitality is not very good, not friendly, the transaction is not given a cash receipt, the work ethic is not very good",0
22738,ChIJY3D3UlYdai4R8Cmab6L1Q6A,f74c7f94b33afc2567bedfa54efaa9c2,1,2020-05-13,Too long,0
240043,ChIJPWO4zJUTZS4RKDOFAI09_X8,68889d7f30a8fa43839a31a65d836a3d,3,2024-01-14,The food here is varied and the taste matches the price given. The composition of ice in the drink is often too little with the branding available on ice but there is not much ice in the drink. Service needs to be improved again because the process of waiting for orders is often too long for orders that are not too large. The order checking process also needs to be improved so that no items in the order are missed or even forgotten to be delivered to customers. Success Always Have Ice Ready!,0
79260,ChIJYX7l5kTtaS4RUzV9UkzXVxI,5a37c4f02b470f5147a654034b15abd0,1,2023-05-10,We are motorbike taxi drivers.. it takes a lot of time.. in most restaurants.. the driver comes. The food is ready... just order one menu.. the wait is up to 20 minutes... if I can order this restaurant.. Id better cancel... .,0
370389,ChIJXb-lp0_EeS4RWU4CsHK35Hk,96e3f7f6db295ea6949852e829a74bfd,3,2024-05-10,Phenomenal sub-district market,0
458263,ChIJl-DWao1fei4Rf1L9IktWuII,205f71eb629a5ff9137a88e1d07eba2a,1,2021-05-14,"The porridge is hot, the coconut milk vegetables dont have a kick because the sauce is clear, so the spices dont feel right. Krecek fried sambal vegetables, egg stew, tofu vegetable soup, chicken opor vegetable, gudeg, fried tofu, various satay. Egg porridge 2, drink 2, crackers 2 finished 30 thousand.",0
223853,ChIJIz7hp9yGaS4RoVbgDEE4IAI,02534fef290581a04ea3a3562af37fc4,1,2022-05-15,"Mantull..the ice is high..the chicken noodles..the meatballs..but Im complaining why theres no branch in Tanjung Priok,",0
175784,ChIJJYIbHFa3aS4RofrS74IAIGo,9ab9f810dcc535a0465cb084ac41d6b0,3,2023-05-11,"the place is a bit dirty, the service is quite friendly. The taste of the chicken is nothing special, just ordinary. the price is right.",0
17436,ChIJjZW_VXLxaS4Rv-GPl05bvFg,cee2eb498f4806adfb67624790955fa5,1,2024-04-13,Slow bad service.,0
453779,ChIJkZg3SdP5ei4Rid9K2PouqyY,4620b4c4b7597c7b56cdea1ce100150e,1,2024-04-14,"For service, please improve it again, both food service and cashiers are still very unsatisfactory",0
362948,ChIJY1O3u0v91y0RS9Hb5FK-UJ4,937097c378ec625bcf47031f184e7b29,3,2023-05-14,"Please dont make the music loud, theres a telephone so you cant hear it.",0
