,place_id,review_id_hash,rating,published_at_date,english_review,sentiment
171678,ChIJNbuXzDuNaC4RIwrwFWbuvpo,c532c68480ba16f384f5c55625b06bd0,5,2023-05-11,Nice place,1
2127,ChIJO5Sy9uz0aS4RDLnqKajkuMI,9aecb30b6ac6da3e36e7f543baf3c6e4,5,2023-05-13,Pretty good place,1
407804,ChIJjzpypiFYei4RgLU9i9vLrd8,35038b963f1326cee81697a707908886,4,2024-03-12,Spring rolls are delicious and cheap,1
374015,ChIJDSmG8vtXeC4R92T5ngVOuwg,e20a8c350dc912e26923b9bfd6835c81,4,2023-10-14,"The place is very instagrammable. Can be used for hanging out, discussions, meetings, relaxing, etc.",1
289228,ChIJE3vIWSYo1i0RsmTH84sesRw,9531987d31c04e41d05351d90b91efbe,4,2024-04-21,"When you first entered, you were immediately confused about where to sit because there were many spots that looked comfortable and interesting to photograph. Register for the digital menu by scanning the QR code and order via the website. There are so many menus that youre confused about which one to choose For the main course, I finally ordered Kuey Teow Siram Chicken Shrimp, which in my opinion is more suitable to be called kwetiau soup. For dessert, STRAWBERRY CHEESE SUNDAY is quite recommended. The combination of sweet, sour and slightly savory flavors, plus the combination of the soft texture of the ice cream and the crunchy corn flakes, really pampers the tongue. Suitable as a topping for white sugar croffles. Price? Slightly pricey. But its commensurate with the comfort of the place which makes you feel at home hanging out here.",1
183394,ChIJzRsxNjCOaS4RB37yc8gfQFk,c491c4cb43842409973f5c72358f286c,5,2024-03-14,"Unique cafe with an old school house concept. Very homey, like eating at home. The food is also delicious, the staff are friendly, the rooms are AC and non-AC, clean, there are toilets and prayer rooms too. Standard price. Its nice to gather here with family.",1
7421,ChIJGWkeU173aS4RXnFVliwVjCs,0bb24d03770dc853750bc5e1a5db4fc1,4,2024-04-13,"I found a nice cafe in South Meruya. I went there in the morning to search for a proper cafe to have a meeting. They have manually brewed coffee too. The cappuccino and filtered coffee were both good. I dont remember the details, but they were definitely not bad. The carrot cake was just okay, but the Caesar salad was tasty. Ill go back there again when Im in the area to try their oat ramen.",1
147992,ChIJ1WWTYzLvaS4RkR0TGSXxqI0,4a96a7b14aa73d0be1c943de367f61a8,4,2020-05-14,Lewat aj,1
349973,ChIJFZa09qGCeC4R182k6RUerfo,d062f9071675dd94ca38462436167fbc,5,2020-05-14,A great hangout place in Jombang city,1
36733,ChIJlbllXPkdai4RPTv1McJAnLY,2160feb042e679b81ce9c42f59542aad,5,2020-05-13,Ok,1
270269,ChIJQZQHpZTrei4R2_xI6BcQFio,0d5ed57e57b6d2a74fc77905fcdeb173,5,2024-04-14,"If you are looking for taste, this is the place.. The place is in the fast lane area, easy reach... The location is still standard. For taste? Dont ask, topp. Portions are also balanced between carbohydrates and protein. Wouldnt have thought that at a price that doesnt drain your wallet you can get food this luxurious. Order hidden dish Giallo, Caesar salad and creamy chicken spaghetti. Its all delicious, the kids also love the spaghetti. In cafes, the estimated price is above 30-50 thousand. Here for 100 thousand you can order a lot for two, plus youre super full... Thats really great Kid-friendliness: There are comfortable seating areas available when bringing children, there are also many menu choices that suit childrens tastes",1
